Investor Name,Investor Entity Type,Investor Tax State,"Distribution 
TX and NM","Distribution 
CO",CO Composite Exemption,CO Withholding Exemption,NM Composite Exemption,NM Withholding Exemption,,,,,,,,,,,,,,,,,
Name 1,Partnership,TX," 1,188,473 "," 19,284,776 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 2,Government Benefit Plan,NY," 1,698,787 "," 27,565,385 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 3,LLC_Taxed as Partnership,CT," 1,078,938 "," 17,507,409 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 4,Government Benefit Plan,CA," 679,515 "," 11,026,154 ", Exemption ,,, Exemption ,,,,,,,,,,,,,,,,,
Name 5,Government Benefit Plan,UT," 509,636 "," 8,269,616 ", Exemption ,,, Exemption ,,,,,,,,,,,,,,,,,
Name 6,Partnership,TX," 1,018,655 "," 16,529,228 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 7,Exempt Organization,MI," 339,758 "," 5,513,076 ", Exemption ,,, Exemption ,,,,,,,,,,,,,,,,,
Name 8,Corporation,VA," 339,758 "," 5,513,076 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 9,Corporation,MA," 298,986 "," 4,851,508 ", Exemption ,,, Exemption ,,,,,,,,,,,,,,,,,
Name 10,Partnership,CA," 169,879 "," 2,756,539 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 11,Corporation,DE," 106,380 "," 1,726,179 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 12,Exempt Organization,TX," 101,927 "," 1,653,923 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 13,Government Benefit Plan,OH," 67,952 "," 1,102,615 ", Exemption ,,, Exemption ,,,,,,,,,,,,,,,,,
Name 14,Limited Partnership,CA," 67,952 "," 1,102,615 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 15,Corporation,IL," 50,964 "," 826,961 ", Exemption ,,, Exemption ,,,,,,,,,,,,,,,,,
Name 16,Corporation,MA," 40,771 "," 661,569 ", Exemption ,,, Exemption ,,,,,,,,,,,,,,,,,
Name 17,Corporation,DE," 39,638 "," 643,192 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 18,Exempt Organization,OH," 33,975 "," 551,308 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 19,Exempt Organization,CA," 33,975 "," 551,308 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 20,Individual,NY," 33,975 "," 551,308 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 21,Corporation,DE," 23,860 "," 387,167 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 22,Partnership,CA," 20,385 "," 330,785 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 23,Exempt Organization,CA," 20,385 "," 330,785 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 24,LLC_Taxed as Partnership,NV," 16,988 "," 275,653 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 25,Corporation,IN," 16,988 "," 275,653 ", Exemption ,,, Exemption ,,,,,,,,,,,,,,,,,
Name 26,LLC_Taxed as Partnership,CA," 6,795 "," 110,261 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 27,Joint Tenancy / Tenancy in Common,TN," 6,795 "," 110,261 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 28,LLP,CO," 6,795 "," 110,261 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 29,Individual,TX," 3,397 "," 55,130 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 30,LLC_Taxed as Partnership,TX," 2,039 "," 33,079 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 31,Individual,TX," 1,699 "," 27,566 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 32,Individual,CA, 339 ," 5,510 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 33,Individual,CA," 1,018 "," 16,529 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 34,Limited Partnership,CA," 166,381 "," 2,699,773 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 35,Trust,CA," 1,698 "," 27,549 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 36,Trust,CA," 1,698 "," 27,549 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 37,Trust,CA," 1,698 "," 27,549 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 38,Trust,CA," 1,698 "," 27,549 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 39,Partnership,TX," 3,400 "," 55,094 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 40,Trust,CA," 3,395 "," 55,097 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 41,Limited Partnership,CA," 3,395 "," 55,097 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 42,Individual,TX," 6,791 "," 110,194 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 43,Individual,TX," 6,791 "," 110,194 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 44,Individual,CA," 20,373 "," 330,585 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 45,Limited Partnership,DE," 50,933 "," 826,462 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
Name 46,Individual,TX," 54,328 "," 881,560 ", -   ,,, -   ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
